accession,scientificName,class,target_gene,sequence_length_bp,locality,title,database_source
OR178968.1,Carcharhinus falciformis,Elasmobranchii,COI,681,Red Sea,"Carcharhinus falciformis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR264993.1,Taeniura lymma,Elasmobranchii,12S rRNA,402,Western Indian Ocean,"Taeniura lymma voucher specimen from Western Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR399563.1,Mobula alfredi,Elasmobranchii,12S rRNA,373,Laccadive Sea,"Mobula alfredi voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR159261.1,Sphyrna lewini,Elasmobranchii,12S rRNA,439,Indian Ocean,"Sphyrna lewini voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_353146,Rastrelliger kanagurta,Actinopterygii,12S rRNA,412,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR445745.1,Galeocerdo cuvier,Elasmobranchii,12S rRNA,350,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR969047.1,Thunnus albacares,Actinopterygii,COI,651,Western Indian Ocean,"Thunnus albacares voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR877781.1,Mobula alfredi,Elasmobranchii,Control Region,844,Western Indian Ocean,"Mobula alfredi voucher specimen from Western Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR383810.1,Katsuwonus pelamis,Actinopterygii,CYTB,845,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR757112.1,Katsuwonus pelamis,Actinopterygii,COI,615,Indian Ocean,"Katsuwonus pelamis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR397613.1,Lethrinus nebulosus,Actinopterygii,12S rRNA,369,Laccadive Sea,"Lethrinus nebulosus voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR809090.1,Galeocerdo cuvier,Elasmobranchii,COI,661,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR938115.1,Chaetodon pictus,Actinopterygii,12S rRNA,425,Arabian Sea,"Chaetodon pictus voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR726209.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,422,Indian Ocean,"Carcharhinus limbatus voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_367629,Pempheris rhomboidea,Actinopterygii,COI,701,Laccadive Sea,"Pempheris rhomboidea voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR676273.1,Thunnus albacares,Actinopterygii,COI,669,Red Sea,"Thunnus albacares voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR547848.1,Scomberomorus commerson,Actinopterygii,12S rRNA,393,Bay of Bengal,"Scomberomorus commerson voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR153121.1,Rhynchobatus djiddensis,Elasmobranchii,Control Region,1030,Bay of Bengal,"Rhynchobatus djiddensis voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR176565.1,Rastrelliger kanagurta,Actinopterygii,COI,683,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR361924.1,Rhynchobatus djiddensis,Elasmobranchii,12S rRNA,394,Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR330649.1,Sarda orientalis,Actinopterygii,COI,601,Western Indian Ocean,"Sarda orientalis voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR373919.1,Katsuwonus pelamis,Actinopterygii,COI,617,Arabian Sea,"Katsuwonus pelamis voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR511965.1,Chaetodon pictus,Actinopterygii,16S rRNA,555,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR553250.1,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,382,Red Sea,"Lutjanus argentimaculatus voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_260057,Rastrelliger kanagurta,Actinopterygii,12S rRNA,405,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR597518.1,Galeocerdo cuvier,Elasmobranchii,12S rRNA,446,Arabian Sea,"Galeocerdo cuvier voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR787727.1,Scomberomorus commerson,Actinopterygii,CYTB,990,Arabian Sea,"Scomberomorus commerson voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR577122.1,Chaetodon pictus,Actinopterygii,16S rRNA,573,Gulf of Oman,"Chaetodon pictus voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR206812.1,Rastrelliger kanagurta,Actinopterygii,16S rRNA,525,Red Sea,"Rastrelliger kanagurta voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR503272.1,Epinephelus coioides,Actinopterygii,COI,679,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR585183.1,Taeniura lymma,Elasmobranchii,16S rRNA,535,Bay of Bengal,"Taeniura lymma voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR624372.1,Lutjanus argentimaculatus,Actinopterygii,COI,620,Bay of Bengal,"Lutjanus argentimaculatus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR932917.1,Scomberomorus commerson,Actinopterygii,COI,682,Western Indian Ocean,"Scomberomorus commerson voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR369183.1,Sphyrna lewini,Elasmobranchii,COI,692,Bay of Bengal,"Sphyrna lewini voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_646762,Taeniura lymma,Elasmobranchii,12S rRNA,388,Gulf of Oman,"Taeniura lymma voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR848024.1,Thunnus albacares,Actinopterygii,COI,712,Indian Ocean,"Thunnus albacares voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR120556.1,Chaetodon pictus,Actinopterygii,COI,639,Indian Ocean,"Chaetodon pictus voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR793776.1,Carcharhinus falciformis,Elasmobranchii,12S rRNA,431,Red Sea,"Carcharhinus falciformis voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR902587.1,Taeniura lymma,Elasmobranchii,12S rRNA,448,Indian Ocean,"Taeniura lymma voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR565951.1,Carcharhinus limbatus,Elasmobranchii,12S rRNA,350,Indian Ocean,"Carcharhinus limbatus voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR752739.1,Sardinella longiceps,Actinopterygii,12S rRNA,364,Bay of Bengal,"Sardinella longiceps voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR992756.1,Pempheris rhomboidea,Actinopterygii,CYTB,833,Laccadive Sea,"Pempheris rhomboidea voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR296842.1,Katsuwonus pelamis,Actinopterygii,16S rRNA,585,Gulf of Oman,"Katsuwonus pelamis voucher specimen from Gulf of Oman 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR660956.1,Carcharhinus falciformis,Elasmobranchii,COI,717,Gulf of Oman,"Carcharhinus falciformis voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_568273,Sarda orientalis,Actinopterygii,CYTB,915,Arabian Sea,"Sarda orientalis voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR150003.1,Chaetodon pictus,Actinopterygii,COI,616,Laccadive Sea,"Chaetodon pictus voucher specimen from Laccadive Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR827760.1,Epinephelus coioides,Actinopterygii,12S rRNA,422,Bay of Bengal,"Epinephelus coioides voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR709437.1,Scomberomorus commerson,Actinopterygii,CYTB,1012,Indian Ocean,"Scomberomorus commerson voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR118984.1,Pampus argenteus,Actinopterygii,12S rRNA,391,Indian Ocean,"Pampus argenteus voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR860947.1,Rhynchobatus djiddensis,Elasmobranchii,16S rRNA,537,Laccadive Sea,"Rhynchobatus djiddensis voucher specimen from Laccadive Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR827496.1,Thunnus albacares,Actinopterygii,CYTB,1037,Laccadive Sea,"Thunnus albacares voucher specimen from Laccadive Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR408210.1,Lethrinus nebulosus,Actinopterygii,Control Region,980,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR130548.1,Taeniura lymma,Elasmobranchii,COI,692,Bay of Bengal,"Taeniura lymma voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR562725.1,Chaetodon pictus,Actinopterygii,Control Region,1000,Arabian Sea,"Chaetodon pictus voucher specimen from Arabian Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_373247,Chaetodon pictus,Actinopterygii,COI,671,Arabian Sea,"Chaetodon pictus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR601601.1,Lethrinus nebulosus,Actinopterygii,COI,649,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR447449.1,Pempheris rhomboidea,Actinopterygii,16S rRNA,508,Red Sea,"Pempheris rhomboidea voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR379543.1,Taeniura lymma,Elasmobranchii,Control Region,948,Bay of Bengal,"Taeniura lymma voucher specimen from Bay of Bengal Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR363936.1,Scomberomorus commerson,Actinopterygii,COI,680,Arabian Sea,"Scomberomorus commerson voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR902400.1,Rastrelliger kanagurta,Actinopterygii,CYTB,1063,Arabian Sea,"Rastrelliger kanagurta voucher specimen from Arabian Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR924478.1,Galeocerdo cuvier,Elasmobranchii,Control Region,858,Indian Ocean,"Galeocerdo cuvier voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR883507.1,Carcharhinus falciformis,Elasmobranchii,CYTB,1055,Western Indian Ocean,"Carcharhinus falciformis voucher specimen from Western Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR102631.1,Carcharhinus limbatus,Elasmobranchii,COI,645,Red Sea,"Carcharhinus limbatus voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR825485.1,Epinephelus coioides,Actinopterygii,16S rRNA,528,Red Sea,"Epinephelus coioides voucher specimen from Red Sea 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_457157,Carcharhinus falciformis,Elasmobranchii,12S rRNA,381,Laccadive Sea,"Carcharhinus falciformis voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR761165.1,Galeocerdo cuvier,Elasmobranchii,COI,630,Gulf of Oman,"Galeocerdo cuvier voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR836862.1,Lutjanus argentimaculatus,Actinopterygii,Control Region,1034,Red Sea,"Lutjanus argentimaculatus voucher specimen from Red Sea Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR341289.1,Rastrelliger kanagurta,Actinopterygii,COI,656,Arabian Sea,"Rastrelliger kanagurta voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR436677.1,Epinephelus coioides,Actinopterygii,COI,687,Red Sea,"Epinephelus coioides voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR803581.1,Rhynchobatus djiddensis,Elasmobranchii,COI,651,Red Sea,"Rhynchobatus djiddensis voucher specimen from Red Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR201081.1,Epinephelus coioides,Actinopterygii,COI,658,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR376949.1,Rastrelliger kanagurta,Actinopterygii,12S rRNA,416,Gulf of Oman,"Rastrelliger kanagurta voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR619053.1,Lethrinus nebulosus,Actinopterygii,CYTB,834,Red Sea,"Lethrinus nebulosus voucher specimen from Red Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR911732.1,Taeniura lymma,Elasmobranchii,Control Region,1089,Indian Ocean,"Taeniura lymma voucher specimen from Indian Ocean Control Region gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_181560,Nemipterus japonicus,Actinopterygii,COI,712,Arabian Sea,"Nemipterus japonicus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR578806.1,Chaetodon pictus,Actinopterygii,COI,632,Arabian Sea,"Chaetodon pictus voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR195803.1,Epinephelus coioides,Actinopterygii,COI,704,Arabian Sea,"Epinephelus coioides voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR521729.1,Sarda orientalis,Actinopterygii,COI,711,Bay of Bengal,"Sarda orientalis voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR766171.1,Mobula alfredi,Elasmobranchii,CYTB,1084,Gulf of Oman,"Mobula alfredi voucher specimen from Gulf of Oman CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR431793.1,Pampus argenteus,Actinopterygii,COI,644,Bay of Bengal,"Pampus argenteus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR614706.1,Katsuwonus pelamis,Actinopterygii,COI,684,Arabian Sea,"Katsuwonus pelamis voucher specimen from Arabian Sea COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR389097.1,Rastrelliger kanagurta,Actinopterygii,CYTB,858,Indian Ocean,"Rastrelliger kanagurta voucher specimen from Indian Ocean CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR113848.1,Sphyrna lewini,Elasmobranchii,12S rRNA,416,Arabian Sea,"Sphyrna lewini voucher specimen from Arabian Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR236629.1,Pempheris rhomboidea,Actinopterygii,COI,704,Gulf of Oman,"Pempheris rhomboidea voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_564534,Pampus argenteus,Actinopterygii,16S rRNA,568,Bay of Bengal,"Pampus argenteus voucher specimen from Bay of Bengal 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR143424.1,Mobula alfredi,Elasmobranchii,COI,671,Bay of Bengal,"Mobula alfredi voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR115646.1,Rhynchobatus djiddensis,Elasmobranchii,16S rRNA,536,Indian Ocean,"Rhynchobatus djiddensis voucher specimen from Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR753158.1,Chaetodon pictus,Actinopterygii,12S rRNA,419,Red Sea,"Chaetodon pictus voucher specimen from Red Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR591982.1,Pempheris rhomboidea,Actinopterygii,16S rRNA,514,Western Indian Ocean,"Pempheris rhomboidea voucher specimen from Western Indian Ocean 16S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR984172.1,Lethrinus nebulosus,Actinopterygii,12S rRNA,414,Bay of Bengal,"Lethrinus nebulosus voucher specimen from Bay of Bengal 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR360573.1,Sardinella longiceps,Actinopterygii,COI,635,Indian Ocean,"Sardinella longiceps voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR250491.1,Nemipterus japonicus,Actinopterygii,12S rRNA,396,Gulf of Oman,"Nemipterus japonicus voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR414373.1,Scomberomorus commerson,Actinopterygii,COI,607,Bay of Bengal,"Scomberomorus commerson voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR783802.1,Sardinella longiceps,Actinopterygii,COI,697,Bay of Bengal,"Sardinella longiceps voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
NC_761352,Galeocerdo cuvier,Elasmobranchii,12S rRNA,400,Laccadive Sea,"Galeocerdo cuvier voucher specimen from Laccadive Sea 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR789804.1,Sarda orientalis,Actinopterygii,COI,661,Indian Ocean,"Sarda orientalis voucher specimen from Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR243311.1,Lutjanus argentimaculatus,Actinopterygii,12S rRNA,416,Indian Ocean,"Lutjanus argentimaculatus voucher specimen from Indian Ocean 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR157733.1,Epinephelus coioides,Actinopterygii,12S rRNA,363,Gulf of Oman,"Epinephelus coioides voucher specimen from Gulf of Oman 12S rRNA gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR272466.1,Nemipterus japonicus,Actinopterygii,COI,683,Bay of Bengal,"Nemipterus japonicus voucher specimen from Bay of Bengal COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR729166.1,Epinephelus coioides,Actinopterygii,COI,617,Western Indian Ocean,"Epinephelus coioides voucher specimen from Western Indian Ocean COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR963655.1,Lethrinus nebulosus,Actinopterygii,CYTB,856,Red Sea,"Lethrinus nebulosus voucher specimen from Red Sea CYTB gene, partial cds; mitochondrial",NCBI GenBank / BOLD
OR945802.1,Pempheris rhomboidea,Actinopterygii,COI,640,Gulf of Oman,"Pempheris rhomboidea voucher specimen from Gulf of Oman COI gene, partial cds; mitochondrial",NCBI GenBank / BOLD
